IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
43.153.80.208,4,4,0.00,150.90,9.41
150.230.47.17,4,4,0.00,197.32,7.57
155.248.202.141,4,4,0.00,189.17,4.92
146.70.175.168,4,4,0.00,174.94,4.38
146.70.175.100,4,4,0.00,178.98,4.13
146.70.175.125,4,4,0.00,186.61,4.13
146.70.175.185,4,4,0.00,187.26,3.71
146.70.175.109,4,4,0.00,185.05,3.42
146.70.169.122,4,4,0.00,184.58,3.36
146.70.175.111,4,4,0.00,187.60,3.29
146.70.175.172,4,4,0.00,187.46,3.10
146.70.175.117,4,4,0.00,187.39,3.10
146.70.175.173,4,4,0.00,191.89,3.05
146.70.175.122,4,4,0.00,190.87,3.02
